"","Time..s.","RIP.Band.1","Preprocessed.Band.1","RIP.Band.2","Preprocessed.Band.2"
"197",15.277777,-0.0018951818,-0.0020557758,NA,NA
"198",15.281776,-0.0019815266,-0.0020619724,NA,NA
"199",15.285778,-0.0019958764,-0.0020683378,NA,NA
"200",15.289778,-0.0019652992,-0.002074867,NA,NA
"201",15.293777,-0.0019056648,-0.002081555,NA,NA
"202",15.297777,-0.001935862,-0.002088396,NA,NA
"203",15.301777,-0.002006583,-0.0020953834,NA,NA
"204",15.305777,-0.0020262077,-0.0021025098,NA,NA
"205",15.309776,-0.0019897744,-0.0021097686,NA,NA
"206",15.313778,-0.0019488931,-0.0021171523,NA,NA
"207",15.317778,-0.0019709542,-0.0021246548,NA,NA
"208",15.321777,-0.0020345896,-0.002132269,NA,NA
"209",15.325777,-0.0020732805,-0.002139987,NA,NA
"210",15.329777,-0.0020406693,-0.0021478017,NA,NA
"211",15.333776,-0.0019765422,-0.0021557063,NA,NA
"212",15.337778,-0.0020102486,-0.0021636945,NA,NA
"213",15.341778,-0.0020795614,-0.00217176,NA,NA
"214",15.3457775,-0.0021101832,-0.0021798958,NA,NA
"215",15.349777,-0.0020824447,-0.0021880965,NA,NA
"216",15.353777,-0.0020238385,-0.0021963574,NA,NA
"217",15.357777,-0.0020570755,-0.002204675,NA,NA
"218",15.361778,-0.0021426827,-0.002213044,NA,NA
"219",15.365778,-0.002155535,-0.0022214602,NA,NA
"220",15.369778,-0.0021304786,-0.0022299194,NA,NA
"221",15.373777,-0.0020763427,-0.0022384196,NA,NA
"222",15.377777,-0.0021180287,-0.0022469594,NA,NA
"223",15.381777,-0.0021847263,-0.0022555357,NA,NA
"224",15.3857765,-0.0022125095,-0.0022641474,NA,NA
"225",15.389778,-0.0021771044,-0.0022727936,NA,NA
"226",15.393778,-0.0021466836,-0.0022814744,NA,NA
"227",15.397778,-0.0021606088,-0.0022901911,NA,NA
"228",15.401777,-0.0022520944,-0.0022989446,NA,NA
"229",15.405777,-0.002275072,-0.0023077365,NA,NA
"230",15.409777,-0.0022439808,-0.0023165704,NA,NA
"231",15.413778,-0.0021957457,-0.0023254505,NA,NA
"232",15.417778,-0.0022238642,-0.0023343824,NA,NA
"233",15.421778,-0.0023014247,-0.002343371,NA,NA
"234",15.425777,-0.0023201555,-0.00235242,NA,NA
"235",15.429777,-0.0023108125,-0.0023615346,NA,NA
"236",15.433777,-0.0022533908,-0.0023707203,NA,NA
"237",15.437778,-0.0022794083,-0.0023799832,NA,NA
"238",15.441778,-0.002357863,-0.002389328,NA,NA
"239",15.445778,-0.0023797676,-0.0023987598,NA,NA
"240",15.449778,-0.0023533478,-0.0024082833,NA,NA
"241",15.453777,-0.0023127347,-0.0024179034,NA,NA
"242",15.457777,-0.0023435578,-0.0024276245,NA,NA
"243",15.461777,-0.0024019405,-0.002437449,NA,NA
"244",15.465778,-0.0024463087,-0.0024473795,NA,NA
"245",15.469778,-0.0024148375,-0.002457419,NA,NA
"246",15.473778,-0.0023686364,-0.0024675708,NA,NA
"247",15.4777775,-0.0023966879,-0.0024778391,NA,NA
"248",15.481777,-0.0024631843,-0.0024882255,NA,NA
"249",15.485777,-0.0025025234,-0.002498732,NA,NA
"250",15.4897785,-0.0024683923,-0.0025093614,NA,NA
"251",15.493778,-0.0024275333,-0.0025201153,NA,NA
"252",15.497778,-0.0024542883,-0.002530997,NA,NA
"253",15.501778,-0.0025179684,-0.0025420072,NA,NA
"254",15.505777,-0.002547808,-0.0025531475,NA,NA
"255",15.509777,-0.0025296807,-0.0025644174,NA,NA
"256",15.513777,-0.0024733767,-0.0025758178,NA,NA
"257",15.5177765,-0.0024979413,-0.0025873487,NA,NA
"258",15.521778,-0.0025892705,-0.0025990095,NA,NA
"259",15.525778,-0.0026029497,-0.0026107987,NA,NA
"260",15.529778,-0.0025823638,-0.0026227145,NA,NA
"261",15.533777,-0.0025256798,-0.0026347558,NA,NA
"262",15.537777,-0.0025498196,-0.0026469205,NA,NA
"263",15.541777,-0.0026257485,-0.0026592046,NA,NA
"264",15.545776,-0.002658382,-0.0026716029,NA,NA
"265",15.549776,-0.0026273355,-0.0026841108,NA,NA
"266",15.553778,-0.0025852472,-0.002696724,NA,NA
"267",15.557777,-0.002598524,-0.0027094374,NA,NA
"268",15.561777,-0.0026778728,-0.0027222452,NA,NA
"269",15.565777,-0.0027058125,-0.0027351405,NA,NA
"270",15.569777,-0.0026791021,-0.0027481152,NA,NA
"271",15.573776,-0.002625905,-0.0027611635,NA,NA
