Time (s), PPG trace, Preprocessed PPG
14.212685,77.37179,87.10851
14.226013,77.09102,86.74561
14.239349,76.82735,86.39104
14.252686,76.58076,86.0453
14.266014,76.33906,85.696754
14.27935,76.102234,85.34553
14.292686,75.8703,84.99179
14.306015,75.63592,84.62836
14.319351,75.39422,84.25028
14.33268,75.142746,83.85488
14.346016,74.881516,83.441864
14.359352,74.61051,83.01091
14.372681,74.32487,82.55685
14.386017,74.03189,82.086525
14.399353,73.75113,81.61926
14.412682,73.48745,81.16031
14.426018,73.25063,80.71998
14.439346,73.057755,80.316185
14.4526825,72.938126,79.979614
14.466019,72.95766,79.778465
14.479347,73.231094,79.83183
14.492683,73.89273,80.281944
14.50602,75.037766,81.23613
14.519348,76.66132,82.70462
14.532684,78.658424,84.59739
14.546013,80.80934,86.70638
14.559349,82.847946,88.77028
14.572685,84.52766,90.53899
14.586014,85.68246,91.83527
14.59935,86.24399,92.57438
14.612686,86.22934,92.75485
14.626015,85.74349,92.46367
14.639351,84.93538,91.83504
14.652679,83.97101,91.024895
14.666016,82.99199,90.16997
14.679352,82.10574,89.37722
14.69268,81.37087,88.70815
14.706017,80.79225,88.17237
14.719353,80.3357,87.74058
14.732681,79.95239,87.36776
14.746017,79.60082,87.0147
14.759346,79.259026,86.66043
14.772682,78.94896,86.32721
14.786018,78.709694,86.0551
14.799347,78.572975,85.87806
14.812683,78.55833,85.81882
14.826019,78.643776,85.859215
14.839348,78.785385,85.95844
14.852684,78.92943,86.06453
14.866013,79.027084,86.12873
14.879349,79.03685,86.10809
14.892685,78.93187,85.973015
14.9060135,78.70725,85.71502
14.91935,78.37278,85.34015
14.932686,77.94797,84.86449
14.946014,77.469444,84.32184
14.959351,76.964066,83.73738
14.972679,76.46113,83.13957
14.986015,75.982605,82.55046
14.9993515,75.545586,81.9879
15.01268,75.157394,81.46051
15.026016,74.830246,80.98203
15.039352,74.57145,80.56168
15.052681,74.373695,80.19429
15.066017,74.23453,79.8793
15.079346,74.15152,79.61613
15.092682,74.1149,79.39674
15.106018,74.11246,79.210396
15.119347,74.13931,79.05327
15.132683,74.19058,78.921394
15.146019,74.26139,78.81066
15.159348,74.35172,78.721664
15.172684,74.4567,78.65014
15.186012,74.57145,78.59166
15.199348,74.686195,78.536766
15.212685,74.793625,78.47814
15.226013,74.8864,78.40822
15.239349,74.9572,78.31922
15.252686,75.00847,78.212906
15.266014,75.03044,78.078896
15.27935,75.02312,77.916275
15.292679,74.986496,77.72413
15.306015,74.92546,77.506424
15.319351,74.844894,77.26728
15.33268,74.75212,77.01341
15.346016,74.65446,76.751755
15.359352,74.57145,76.5017
15.372681,74.5153,76.27591
15.386017,74.49821,76.087425
15.399345,74.54459,75.96188
15.412682,74.70817,75.95498
15.426018,75.09392,76.17536
15.439346,75.83612,76.76425
15.4526825,77.04707,77.845085
15.466019,78.75853,79.464264
15.479347,80.88258,81.54952
15.492683,83.21416,83.908676
15.506012,85.47494,86.2699
15.519348,87.396355,88.362404
15.532684,88.780655,89.977844
15.546013,89.5375,91.00908
15.559349,89.671776,91.44141
15.572685,89.28603,91.35791
15.586014,88.514534,90.8766
15.59935,87.52331,90.15146
15.612679,86.46616,89.32942
15.626015,85.46761,88.532936
15.639351,84.613106,87.84929
15.652679,83.929504,87.309845
15.666016,83.39239,86.89552
15.679352,82.950485,86.55963
15.69268,82.54276,86.24411
15.706017,82.142365,85.92317
15.719345,81.75906,85.60682
